,receiver,transmitter,timestamp
0,54b05d02-2769-4d09-a666-f1d60212aa7d,b5823af0-1ea7-46e5-b537-23691090e603,2025-08-20 14:45:08.660713+00:00
1,b6a459ac-471b-46fc-a28f-9dd24e9a9df9,3ed589b9-4d20-4ab1-9999-96e748c115ce,2025-08-20 14:45:10.970342+00:00
2,d549544b-5a50-454c-8316-d6a15b75f46e,ac2797eb-0573-4b75-97bb-0a4d95a629a1,2025-08-20 14:45:12.974951+00:00
3,a7640665-6834-400c-8840-21aef9f5ce43,ac2797eb-0573-4b75-97bb-0a4d95a629a1,2025-08-20 14:45:13.971811+00:00
4,18f56d23-497b-4c0a-9016-2bbd78cea402,eace0a2a-baf9-4fe8-bb72-2f6abbb3a5a7,2025-08-20 14:45:16.973593+00:00
5,0969e43b-7f13-48b3-8c81-4563544bc03a,739fe9d4-1cd6-46be-bd74-d30190854ad9,2025-08-20 14:45:24.035293+00:00
6,5c03cad4-67bd-4096-96ff-465e474afbcb,a7640665-6834-400c-8840-21aef9f5ce43,2025-08-20 14:45:25.697184+00:00
7,5c03cad4-67bd-4096-96ff-465e474afbcb,f61fe8e8-98ca-44cb-bf81-eb2d619eeba2,2025-08-20 14:45:25.746774+00:00
8,5c03cad4-67bd-4096-96ff-465e474afbcb,bf889729-bfd7-4b59-8378-53a9a03eeed9,2025-08-20 14:45:25.793813+00:00
9,b5823af0-1ea7-46e5-b537-23691090e603,739fe9d4-1cd6-46be-bd74-d30190854ad9,2025-08-20 14:45:27.702091+00:00
10,b5823af0-1ea7-46e5-b537-23691090e603,18f56d23-497b-4c0a-9016-2bbd78cea402,2025-08-20 14:45:27.744092+00:00
11,38d52f51-3b98-4368-9273-93ad0400654d,67fc9f16-ec7c-493a-af88-2005f36fd7a9,2025-08-20 14:45:28.982173+00:00
12,38d52f51-3b98-4368-9273-93ad0400654d,d1ac7674-a809-41d1-9edf-c0092b80b3a8,2025-08-20 14:45:29.031394+00:00
13,f77cf15f-7e97-41e5-aba9-50e4623effe7,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:30.707191+00:00
14,f77cf15f-7e97-41e5-aba9-50e4623effe7,ffb0cfc5-a935-475a-9770-7c080c2bc03a,2025-08-20 14:45:30.753880+00:00
15,e553f0c3-6b39-451f-8002-4037c6df0dbf,0b22d42e-928b-4e23-9337-72da5fa3fffc,2025-08-20 14:45:31.684394+00:00
16,e553f0c3-6b39-451f-8002-4037c6df0dbf,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,2025-08-20 14:45:31.733255+00:00
17,e553f0c3-6b39-451f-8002-4037c6df0dbf,e764bbca-80f9-4723-a306-d19af8dfd10f,2025-08-20 14:45:31.779017+00:00
18,0294ac56-2e96-4883-be95-280235ac60da,f77cf15f-7e97-41e5-aba9-50e4623effe7,2025-08-20 14:45:33.006697+00:00
19,0294ac56-2e96-4883-be95-280235ac60da,54b05d02-2769-4d09-a666-f1d60212aa7d,2025-08-20 14:45:33.052732+00:00
20,0294ac56-2e96-4883-be95-280235ac60da,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,2025-08-20 14:45:33.096981+00:00
21,0294ac56-2e96-4883-be95-280235ac60da,ffb0cfc5-a935-475a-9770-7c080c2bc03a,2025-08-20 14:45:33.145722+00:00
22,0294ac56-2e96-4883-be95-280235ac60da,0b22d42e-928b-4e23-9337-72da5fa3fffc,2025-08-20 14:45:33.193904+00:00
23,0294ac56-2e96-4883-be95-280235ac60da,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,2025-08-20 14:45:33.237852+00:00
24,0294ac56-2e96-4883-be95-280235ac60da,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:33.282578+00:00
25,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,ffb0cfc5-a935-475a-9770-7c080c2bc03a,2025-08-20 14:45:33.665681+00:00
26,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,54b05d02-2769-4d09-a666-f1d60212aa7d,2025-08-20 14:45:33.708850+00:00
27,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,f77cf15f-7e97-41e5-aba9-50e4623effe7,2025-08-20 14:45:33.756218+00:00
28,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:33.812562+00:00
29,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,59cf03c0-a111-4014-a007-9e3cad1a6a56,2025-08-20 14:45:33.863870+00:00
30,c96d91d7-7467-46f0-a70e-a2e170e8cd58,3ac4dac1-1e30-47f9-88a1-06159ce9b1eb,2025-08-20 14:45:33.910927+00:00
31,14c48987-cb9d-4103-8b0e-49a9628ae5d8,d1ac7674-a809-41d1-9edf-c0092b80b3a8,2025-08-20 14:45:33.964339+00:00
32,14c48987-cb9d-4103-8b0e-49a9628ae5d8,a493fd18-6673-449e-9839-2b90cda666d6,2025-08-20 14:45:34.013796+00:00
33,14c48987-cb9d-4103-8b0e-49a9628ae5d8,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,2025-08-20 14:45:34.062063+00:00
34,14c48987-cb9d-4103-8b0e-49a9628ae5d8,59cf03c0-a111-4014-a007-9e3cad1a6a56,2025-08-20 14:45:34.109461+00:00
35,f61fe8e8-98ca-44cb-bf81-eb2d619eeba2,a7640665-6834-400c-8840-21aef9f5ce43,2025-08-20 14:45:34.153484+00:00
36,18f56d23-497b-4c0a-9016-2bbd78cea402,b5823af0-1ea7-46e5-b537-23691090e603,2025-08-20 14:45:34.205636+00:00
37,18f56d23-497b-4c0a-9016-2bbd78cea402,3ac4dac1-1e30-47f9-88a1-06159ce9b1eb,2025-08-20 14:45:34.253254+00:00
38,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,9ff9f884-90bd-4ce8-ac99-be658cd8cdd3,2025-08-20 14:45:34.703961+00:00
39,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,54b05d02-2769-4d09-a666-f1d60212aa7d,2025-08-20 14:45:34.750942+00:00
40,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,0294ac56-2e96-4883-be95-280235ac60da,2025-08-20 14:45:34.799341+00:00
41,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,a493fd18-6673-449e-9839-2b90cda666d6,2025-08-20 14:45:34.849029+00:00
42,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,0b22d42e-928b-4e23-9337-72da5fa3fffc,2025-08-20 14:45:34.901097+00:00
43,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,2025-08-20 14:45:34.951472+00:00
44,999a3e16-ffe6-40c3-b5cb-9ded8ce43385,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:34.999472+00:00
45,0393d7a2-c522-4e28-96c7-81bc8ca16684,cc0089ee-c4f1-4029-8e57-50e3700eaa74,2025-08-20 14:45:35.691901+00:00
46,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,59cf03c0-a111-4014-a007-9e3cad1a6a56,2025-08-20 14:45:36.015916+00:00
47,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,c96d91d7-7467-46f0-a70e-a2e170e8cd58,2025-08-20 14:45:36.063877+00:00
48,0b22d42e-928b-4e23-9337-72da5fa3fffc,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:36.977902+00:00
49,99414a76-681e-485e-bd51-0891cb99fb43,59cf03c0-a111-4014-a007-9e3cad1a6a56,2025-08-20 14:45:37.046229+00:00
50,99414a76-681e-485e-bd51-0891cb99fb43,f3cc80f6-a5c0-487e-ab4b-cffee0842b0f,2025-08-20 14:45:37.092991+00:00
51,f0706da9-580a-487e-85ae-0a0182fa1f11,f3cc80f6-a5c0-487e-ab4b-cffee0842b0f,2025-08-20 14:45:37.993589+00:00
52,cd80836c-282f-466b-b76d-bae142c39a8a,92e25df9-f46a-4fa7-84a8-17b63fd9ae39,2025-08-20 14:45:38.040125+00:00
53,cd80836c-282f-466b-b76d-bae142c39a8a,ac2797eb-0573-4b75-97bb-0a4d95a629a1,2025-08-20 14:45:38.085104+00:00
54,b9b1e446-9a37-4bcc-8a33-1566a80cfb4c,f0706da9-580a-487e-85ae-0a0182fa1f11,2025-08-20 14:45:39.673976+00:00
55,b9b1e446-9a37-4bcc-8a33-1566a80cfb4c,38f3c400-9651-4e0c-b2da-2ba8d49db0c3,2025-08-20 14:45:39.717521+00:00
56,b9b1e446-9a37-4bcc-8a33-1566a80cfb4c,f3cc80f6-a5c0-487e-ab4b-cffee0842b0f,2025-08-20 14:45:39.764591+00:00
57,54b05d02-2769-4d09-a666-f1d60212aa7d,f3cc80f6-a5c0-487e-ab4b-cffee0842b0f,2025-08-20 14:45:39.813985+00:00
58,54b05d02-2769-4d09-a666-f1d60212aa7d,0b22d42e-928b-4e23-9337-72da5fa3fffc,2025-08-20 14:45:39.862014+00:00
59,54b05d02-2769-4d09-a666-f1d60212aa7d,e764bbca-80f9-4723-a306-d19af8dfd10f,2025-08-20 14:45:39.907347+00:00
60,cc0089ee-c4f1-4029-8e57-50e3700eaa74,f0706da9-580a-487e-85ae-0a0182fa1f11,2025-08-20 14:45:39.988146+00:00
61,a493fd18-6673-449e-9839-2b90cda666d6,31b4f913-d29c-49ac-be06-0c6fdf7dd1c2,2025-08-20 14:45:40.032100+00:00
62,a493fd18-6673-449e-9839-2b90cda666d6,c96d91d7-7467-46f0-a70e-a2e170e8cd58,2025-08-20 14:45:40.077394+00:00
63,a493fd18-6673-449e-9839-2b90cda666d6,0b22d42e-928b-4e23-9337-72da5fa3fffc,2025-08-20 14:45:40.124722+00:00
64,a493fd18-6673-449e-9839-2b90cda666d6,d56d222e-d2fe-4a04-9d8a-44ced51f27a5,2025-08-20 14:45:40.171530+00:00
65,e764bbca-80f9-4723-a306-d19af8dfd10f,38f3c400-9651-4e0c-b2da-2ba8d49db0c3,2025-08-20 14:45:40.818595+00:00
66,e764bbca-80f9-4723-a306-d19af8dfd10f,f3cc80f6-a5c0-487e-ab4b-cffee0842b0f,2025-08-20 14:45:40.870258+00:00
67,3ac4dac1-1e30-47f9-88a1-06159ce9b1eb,739fe9d4-1cd6-46be-bd74-d30190854ad9,2025-08-20 14:45:40.919043+00:00
68,67fc9f16-ec7c-493a-af88-2005f36fd7a9,e2966cd5-d560-428e-b668-e59e7afd642c,2025-08-20 14:45:41.692336+00:00
69,67fc9f16-ec7c-493a-af88-2005f36fd7a9,d1ac7674-a809-41d1-9edf-c0092b80b3a8,2025-08-20 14:45:41.740683+00:00
