meters,rssi
1,-82
1,-72
1,-76
1,-71
2,-84
2,-79
2,-84
2,-83
2,-78
3,-84
3,-96
3,-92
3,-86
4,-82
4,-92
4,-83
4,-86
4,-86
5,-81
5,-85
