meters,rssi
1,-72
1,-76
1,-72
1,-74
1,-69
2,-999
2,-999
2,-999
2,-73
2,-75
3,-999
3,-75
3,-75
3,-75
4,-93
4,-81
4,-83
4,-999
4,-87
5,-72
5,-73
5,-74
5,-73
5,-73
6,-76
6,-999
6,-75
6,-77
6,-74
7,-87
7,-999
7,-999
7,-999
7,-999
8,-999
8,-999
8,-999
8,-91
8,-86
9,-90
9,-999
9,-999
9,-88
9,-999
10,-74
10,-999
10,-999
10,-999
