meters,rssi
1,-77
1,-76
1,-76
1,-69
1,-71
2,-76
2,-76
2,-79
2,-76
3,-999
3,-999
3,-999
4,-999
4,-999
4,-999
4,-78
4,-999
5,-999
5,-77
5,-76
5,-71
5,-999
6,-77
6,-92
6,-999
6,-79
6,-78
7,-999
7,-999
7,-999
7,-999
7,-999
8,-999
8,-999
8,-999
8,-999
8,-999
